date	prefix	url	message	context
2022-09-15	ubio.namebank	http://www.ubio.org/browser/details.php?namebankID=2555646	ConnectTimeout	HTTPConnectionPool(host='www.ubio.org', port=80): Max retries exceeded with url: /browser/details.php?namebankID=2555646 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f874910>, 'Connection to www.ubio.org timed out. (connect timeout=15)'))
2022-09-15	ucsc	ftp://hgdownload.cse.ucsc.edu/goldenPath/uc001rvw.5	InvalidSchema	No connection adapters were found for 'ftp://hgdownload.cse.ucsc.edu/goldenPath/uc001rvw.5'
2022-09-15	umbbd.compound	http://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0001	ReadTimeout	HTTPConnectionPool(host='eawag-bbd.ethz.ch', port=80): Read timed out. (read timeout=15)
2022-09-15	umbbd.enzyme	http://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=ep&enzymeID=e0333	ReadTimeout	HTTPConnectionPool(host='eawag-bbd.ethz.ch', port=80): Read timed out. (read timeout=15)
2022-09-15	umbbd.reaction	http://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0001	ReadTimeout	HTTPConnectionPool(host='eawag-bbd.ethz.ch', port=80): Read timed out. (read timeout=15)
2022-09-15	umbbd.rule	http://www.umbbd.ethz.ch/servlets/rule.jsp?rule=bt0001	ReadTimeout	HTTPConnectionPool(host='eawag-bbd.ethz.ch', port=80): Read timed out. (read timeout=15)
2022-09-15	unigene	http://www.ncbi.nlm.nih.gov/UniGene/clust.cgi?UGID=4900	HTTP 410	410
2022-09-15	uniparc	https://www.ebi.ac.uk/cgi-bin/dbfetch?db=uniparc&id=UPI000000000A	HTTP 500	500
2022-09-15	unists	https://www.ncbi.nlm.nih.gov/genome/sts/sts.cgi?uid=456789	HTTP 410	410
2022-09-15	uspto	http://patft.uspto.gov/netacgi/nph-Parser?Sect2=PTO1&Sect2=HITOFF&p=1&u=/netahtml/PTO/search-bool.html&r=1&f=G&l=50&d=PALL&RefSrch=yes&Query=PN/4145692	ConnectionError	('Connection aborted.', ConnectionResetError(54, 'Connection reset by peer'))
2022-09-15	vann	https://vocab.org/vann/usageNote	HTTP 404	404
2022-09-15	vbrc	http://vbrc.org/gene_detail.asp?gene_id=35742	HTTP 404	404
2022-09-15	vipr	http://www.viprbrc.org/brc/viprStrainDetails.do?strainName=BeAn 70563&decorator=arena	HTTP 404	404
2022-09-15	worfdb	http://worfdb.dfci.harvard.edu/index.php?search_type=name&page=showresultrc&race_query=T01B6.1	HTTP 404	404
2022-09-15	ydpm	http://www-deletion.stanford.edu/cgi-bin/YDPM/YDPM_search.cgi?thelist=YAL001C	ConnectTimeout	HTTPConnectionPool(host='www-deletion.stanford.edu', port=80): Max retries exceeded with url: /cgi-bin/YDPM/YDPM_search.cgi?thelist=YAL001C (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f98a850>, 'Connection to www-deletion.stanford.edu timed out. (connect timeout=15)'))
2022-09-15	yid	http://metarray.ucsc.edu/cgi-bin/intron/yirIntrondb?orfName=SNR17A	ConnectTimeout	HTTPConnectionPool(host='metarray.ucsc.edu', port=80): Max retries exceeded with url: /cgi-bin/intron/yirIntrondb?orfName=SNR17A (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x11f9556a0>, 'Connection to metarray.ucsc.edu timed out. (connect timeout=15)'))
