prefix	name	homepage	description	uri_format
P5374	Académie des sciences d'outre-mer member ID	http://www.academieoutremer.fr/academiciens/?gAlpha=1	identifier for a member on the Académie des sciences d'outre-mer website	http://www.academieoutremer.fr/academiciens/?aId=$1
P5375	BIU Santé person ID	http://www.biusante.parisdescartes.fr/histoire/biographies/index.php	identifier for a person on the Bibliothèque interuniversitaire de santé website	https://www.biusante.parisdescartes.fr/histoire/biographies/index.php?cle=$1
P5376	Medicina author ID	http://www.biusante.parisdescartes.fr/histoire/medicina/index.php	identifier for an author in the Medicina database	https://www.biusante.parisdescartes.fr/histoire/medicina/?auteur=$1
P5380	National Academy of Sciences member ID	http://www.nasonline.org/member-directory/	identifier for a member or foreign associate on the American National Academy of Sciences website	http://www.nasonline.org/member-directory/members/$1.html
P5397	Tierstimmenarchiv ID		identifier for a species in the Animal Sound Archive Berlin	http://www.tierstimmen.org/en/database?field_spec_species_target_id_selective=$1
P5415	Whonamedit? doctor ID	http://www.whonamedit.com/people/	identifier for a doctor on the Whonamedit? website	http://www.whonamedit.com/doctor.cfm/$1.html
P5463	AE member ID	https://www.ae-info.org/ae/Member	identifier for a member of the Academy of Europe	https://www.ae-info.org/ae/Member/$1
P5468	Historia de la Medicina person ID	https://www.historiadelamedicina.org/biografias.html	identifier for a person on the Historia de la Medicina website	https://www.historiadelamedicina.org/$1.html
P5473	The Reptile Database ID	https://reptile-database.reptarium.cz/	identifier for all living reptile species in The Reptile Database	https://wikidata-externalid-url.toolforge.org/?url_prefix=https%3A%2F%2Freptile-database.reptarium.cz%2Fspecies%3F&id=$1
P5496	Médicos históricos doctor ID	https://medicoshistoricos.ucm.es/s/medes/page/inicio	identifier for a doctor in the Médicos históricos database of the Complutense University of Madrid	https://medicoshistoricos.ucm.es/s/medes/item/$1
P5527	Academia Brasileira de Letras ID	http://www.academia.org.br/academicos/membros?title=&field_cadeira_value=&field_cadeira_posicao_value=All	identifier for a member on the Academia Brasileira de Letras website	https://www.academia.org.br/academicos/$1
P5530	Altmetric DOI	https://altmetric.com/	DOI of a scientific or academic article at altmetric.com, to track citation metrics	https://www.altmetric.com/details/doi/$1
P5626	Global Invasive Species Database ID		identifier for a taxon in the IUCN's Global Invasive Species Database	https://www.iucngisd.org/gisd/species.php?sc=$1
P5635	ANZL writer ID	https://www.anzliterature.com/members/	identifier for a writer on the Academy of New Zealand Literature website	https://www.anzliterature.com/member/$1/
P5661	Académie de Montpellier member ID	http://www.ac-sciences-lettres-montpellier.fr/academie_edition/sources/index.php?page=academiciens	identifier for a member of the 'Académie de Montpellier' on its website	https://www.ac-sciences-lettres-montpellier.fr/academie_edition/sources/index.php?page=academicien_detail&id=$1
P5662	Académie de Mâcon member ID	http://academiedemacon.fr/recherche-documentaire/les-membres/	identifier for a member of the 'Académie de Mâcon' on its website	http://academiedemacon.fr/details/?num=$1
P5663	Académie de Versailles member ID	http://www.academiedeversailles.com/_anciens-membres	identifier for a member of the 'Académie de Versailles' on its website	https://www.academiedeversailles.com/_$1
P5698	Invasive Species Compendium Datasheet ID		identifier for a taxon datasheet in the Invasive Species Compendium, produced by the Centre for Agriculture and Bioscience International	https://www.cabi.org/isc/datasheet/$1
P5818	BGCI garden ID	https://www.bgci.org/garden_search.php	identifier for a botanical garden in the Botanic Gardens Conservation International online database	https://www.bgci.org/garden.php?id=$1
P5839	Académie de Marseille member ID	http://www.academie-sla-marseille.fr/pages/membres-1/membres/	identifier for a member of the 'Académie de Marseille' on its website	http://www.academie-sla-marseille.fr/pages/membres-1/$1.html
P5843	Gynopedia ID	https://gynopedia.org/	identifier for a place (city, region or country) on the Gynopedia wiki about sexual and reproductive health care	https://gynopedia.org/$1
P5858	Index Herbariorum code	http://sweetgum.nybg.org/science/ih/	code in Index Herbariorum for plant collections	http://sweetgum.nybg.org/science/ih/herbarium-list/?NamOrganisationAcronym=$1
P586	IPNI author ID		numerical identifier for a person in the International Plant Names Index	https://www.ipni.org/a/$1
P5862	Lepidoptera of Belgium ID		identifier in the Catalogue of Lepidoptera of Belgium	https://projects.biodiversity.be/lepidoptera/species/$1/
P5864	Enciclovida ID		identification in Enciclovida, an Encyclopedia of plants, fungi and animals of Mexico	https://enciclovida.mx/especies/$1
P5875	ResearchGate publication ID		identifier of a publication in ResearchGate	https://www.researchgate.net/publication/$1
P5878	Taxonomic Literature 2 number		catalogue number in Taxonomic Literature 2	
P5926	Spectral Database for Organic Compounds ID			https://sdbs.db.aist.go.jp/CompoundView.aspx?sdbsno=$1
P5945	VicFlora ID	https://vicflora.rbg.vic.gov.au/flora/search?q=*:*	identifier for a plant taxon, in the Australian 'Flora of Victoria' database	https://vicflora.rbg.vic.gov.au/flora/taxon/$1
P5953	NT Flora ID	http://eflora.nt.gov.au/search?	identifier for a plant taxon, in the Northern Territory (Australia) 'NT Flora' database	https://eflora.nt.gov.au/factsheet?id=$1
P5984	APNI ID	https://biodiversity.org.au/nsl/services/apni	identifier for a plant, in the Australian Plant Name index	https://id.biodiversity.org.au/name/apni/$1
P6003	Center for Biological Diversity ID	https://www.biologicaldiversity.org/species/	identifier for a taxon on the Center for Biological Diversity website	https://www.biologicaldiversity.org/species/$1/index.html
P6018	SeaLifeBase ID	https://www.sealifebase.ca/search.php	identifier for a taxon on the SeaLifeBase website	https://www.sealifebase.ca/Summary/SpeciesSummary.php?id=$1
P6019	Species at Risk public registry ID	https://wildlife-species.canada.ca/species-risk-registry/sar/index/default_e.cfm	identifier for a taxon on the Canadian 'Species at Risk' public registry website	https://wildlife-species.canada.ca/species-risk-registry/species/speciesDetails_e.cfm?sid=$1
P6021	Hymenoptera Online taxon ID	https://hol.osu.edu/	identifier for a taxon on the Hymenoptera Online website	https://hol.osu.edu/index.html?id=$1
P6025	Oiseaux.net ID	http://www.oiseaux.net/oiseaux/	identifier for a bird taxon on the Oiseaux.net website	https://www.oiseaux.net/oiseaux/$1.html
P6028	Hypericum MySpecies ID	http://hypericum.myspecies.info/	identifier for a taxon in the database at Hypericum MySpecies	https://hypericum.myspecies.info/taxonomy/term/$1
P6030	ECOS ID	https://ecos.fws.gov/ecp/	identifier for a taxon on the United States' 'Environmental Conservation Online System' website	https://ecos.fws.gov/ecp/species/$1
